100,random,SHELL,889,438,2334,0,307066
100,random,KNUTH,723,424,1831,0,103066
100,random,SEDGEWICK,800,509,1977,0,120400
100,sorted,SHELL,503,0,1509,0,63666
100,sorted,KNUTH,342,0,1026,0,44166
100,sorted,SEDGEWICK,334,0,1002,0,60966
100,reversed,SHELL,668,260,1934,0,118966
100,reversed,KNUTH,500,230,1414,0,84800
100,reversed,SEDGEWICK,575,316,1559,0,85433
100,nearly,SHELL,544,42,1592,0,71766
100,nearly,KNUTH,387,45,1117,0,54433
100,nearly,SEDGEWICK,379,45,1093,0,48300
1000,random,SHELL,15053,7557,38622,0,1313966
1000,random,KNUTH,13872,8858,33645,0,310800
1000,random,SEDGEWICK,13496,7835,33696,0,257400
1000,sorted,SHELL,8006,0,24018,0,116100
1000,sorted,KNUTH,5457,0,16371,0,116633
1000,sorted,SEDGEWICK,6182,0,18546,0,79766
1000,reversed,SHELL,11716,4700,32428,0,261800
1000,reversed,KNUTH,8550,3920,23384,0,248900
1000,reversed,SEDGEWICK,9046,3508,24918,0,144766
1000,nearly,SHELL,10139,2144,28295,0,262500
1000,nearly,KNUTH,7731,2278,20924,0,71566
1000,nearly,SEDGEWICK,8738,2566,23668,0,64900
10000,random,SHELL,267094,152187,659291,0,1382266
10000,random,KNUTH,244866,173985,569337,0,976766
10000,random,SEDGEWICK,197945,109686,494005,0,1047500
10000,sorted,SHELL,120005,0,360015,0,675433
10000,sorted,KNUTH,75243,0,225729,0,441966
10000,sorted,SEDGEWICK,93187,0,279561,0,554466
10000,reversed,SHELL,172578,62560,475148,0,705200
10000,reversed,KNUTH,120190,53704,324380,0,461066
10000,reversed,SEDGEWICK,130764,43130,360268,0,535733
10000,nearly,SHELL,177353,57482,474845,0,854766
10000,nearly,KNUTH,140216,65058,355761,0,659700
10000,nearly,SEDGEWICK,153533,60460,400367,0,724800
100000,random,SHELL,4309760,2860152,10169925,0,16483833
100000,random,KNUTH,3803914,2878019,8616225,0,19456000
100000,random,SEDGEWICK,2625930,1411270,6569456,0,12901200
100000,sorted,SHELL,1500006,0,4500018,0,11228733
100000,sorted,KNUTH,967146,0,2901438,0,8669100
100000,sorted,SEDGEWICK,1266128,0,3798384,0,6538533
100000,reversed,SHELL,2244585,844560,6089157,0,8353933
100000,reversed,KNUTH,1533494,619654,4087440,0,5686066
100000,reversed,SEDGEWICK,1716832,510628,4759716,0,6587666
100000,nearly,SHELL,2858058,1359568,7217639,0,15953033
100000,nearly,KNUTH,2254333,1288140,5476765,0,12622666
100000,nearly,SEDGEWICK,2184679,920008,5636944,0,10325200
